id,name,description,best_for,category,file,tags
dual-sensory-hook,Dual-Sensory Hook Framework,Combine visual interrupts with audio anchors in the first 3 seconds for maximum scroll-stop power,Short-form video hooks; TikTok/Reels openings; First-3-seconds optimization,Hooks,viral-frameworks/dual-sensory-hook.md,hooks;visual;audio;first-3-seconds;scroll-stop
hook-binge-series,Hook & Binge Series Framework,Pair scroll-stopping hooks with serialized content to drive repeat viewership and binge-watching,Content series; Building loyal followers; Serialized storytelling,Series,viral-frameworks/hook-binge-series.md,series;binge;retention;serialized-content;loyalty
outlier-replication,Viral Video Hack (Outlier Replication),Find videos with 5x views-to-followers ratio and replicate their structural pattern in your niche,Finding proven formats; Data-backed content ideas; Format adaptation,Replication,viral-frameworks/outlier-replication.md,replication;outlier;format;data-driven;proven-formats
visual-contrast-listicle,Visual Contrast Listicle,Use split-screen A/B comparisons with visual heuristics (red X / green check) for instant comprehension,Educational content; Tips/hacks format; Save-worthy posts,Formats,viral-frameworks/visual-contrast-listicle.md,listicle;contrast;split-screen;educational;save-worthy
relatable-pattern-replicator,Relatable Pattern Replicator,Replicate proven viral formats with universal pain points in new settings for instant relatability,Comedy content; Relatable humor; Trend participation,Replication,viral-frameworks/relatable-pattern-replicator.md,relatable;comedy;trends;replication;universal-pain-points
tension-twist-payoff,Tension-Twist-Payoff Stack,Build tension through contrast, deliver an unexpected twist, then provide satisfying payoff,Storytelling content; Engagement hooks; Narrative structure,Structure,viral-frameworks/tension-twist-payoff.md,tension;twist;payoff;storytelling;engagement
pattern-interrupt-curiosity,Pattern-Interrupt Curiosity Loop,Break the scroll pattern with unexpected visuals then immediately open a curiosity loop,Hooks; Attention capture; Pattern breaking,Hooks,viral-frameworks/pattern-interrupt-curiosity.md,pattern-interrupt;curiosity;hooks;attention;scroll-stop
viral-blueprint-repurpose,Viral Blueprint Repurpose,Extract the structural blueprint from a viral video and repurpose it with your own content and style,Content adaptation; Format extraction; Proven structures,Replication,viral-frameworks/viral-blueprint-repurpose.md,repurpose;blueprint;structure;adaptation
value-hook-repeat,Value-Hook-Repeat Engine,Alternate between delivering value and re-hooking to maintain retention throughout the video,Retention; Mid-video engagement; Value delivery,Structure,viral-frameworks/value-hook-repeat.md,value;retention;engagement;re-hook;pacing
fake-ui-interrupt,Fake UI Pattern Interrupt,Use interface-like graphics that break expectations to stop the scroll and create curiosity,Visual hooks; UI-based content; Attention grabbing,Hooks,viral-frameworks/fake-ui-interrupt.md,fake-ui;interface;visual-hook;curiosity;unexpected
shock-loop,Shock & Loop Framework,Create a shocking or confusing opening that resolves into a satisfying loop for replay value,Loop content; Replays; Viral potential,Structure,viral-frameworks/shock-loop.md,shock;loop;replay;confusion;resolution
borrowed-attention-stitch,Borrowed Attention Stitch,Leverage trending audio or viral content structures to borrow existing audience attention,Trend participation; Audio trends; Format riding,Formats,viral-frameworks/borrowed-attention-stitch.md,stitch;trending;audio;borrowed-attention;duet
4-pillar-hook-matrix,4-Pillar Hook Matrix,Structure hooks across four pillars: curiosity, risk, surprise, and meaning for comprehensive engagement,Hook strategy; Multi-dimensional hooks; Engagement planning,Hooks,viral-frameworks/4-pillar-hook-matrix.md,pillars;curiosity;risk;surprise;meaning;strategy
outcome-pain-solution,Outcome-Pain-Solution (OPS) Framework,Lead with the outcome, expose the pain of not having it, then present your solution,Conversion content; Sales videos; Educational content,Structure,viral-frameworks/outcome-pain-solution.md,outcome;pain;solution;conversion;educational
prop-effect,Prop Effect Framework,Use highly visual physical props to represent abstract concepts and eliminate dull seconds,Educational content; Abstract concepts; High retention,Formats,viral-frameworks/prop-effect.md,props;visual;education;retention;demonstration
cinematic-underdog,Cinematic Underdog Framework,Combine wide-angle visual hooks with negative-then-positive underdog storytelling,Personal brands; Journey documentation; Transformation content,Structure,viral-frameworks/cinematic-underdog.md,cinematic;underdog;wide-shot;transformation;storytelling
voyeuristic-reveal,Voyeuristic Reveal Framework,Open with raw bystander footage then transition to polished cinematic reveal,Lifestyle; Music; Romance; Storytelling with production value,Formats,viral-frameworks/voyeuristic-reveal.md,voyeuristic;reveal;match-cut;cinematic;contrast
frustration-replay-loop,Frustration-Replay Loop Framework,Create impossible interactive challenges that force multiple full-video rewatches for algorithmic manipulation,Product showcases; Gaming; Visual puzzles; Loop content,Structure,viral-frameworks/frustration-replay-loop.md,frustration;replay;loop;gamification;algorithm
silent-scroll-stopper,Silent Scroll-Stopper Framework,Use dynamic physical movements before speaking to capture attention without audio,Talking head content; First-second optimization; Sound-off viewing,Hooks,viral-frameworks/silent-scroll-stopper.md,visual-hook;movement;first-second;non-verbal;psychology
problem-motion-win,Problem-Motion-Win Stack Framework,Hook with micro-problem, hold with movement, deliver single actionable win for shareability,Education; Tips content; Views-to-followers conversion,Structure,viral-frameworks/problem-motion-win.md,problem;movement;win;shareability;education
gated-magic-loop,Gated Magic Engagement Loop Framework,Offer high-value result for free but gate the essential tool behind comment engagement,AI/Tech content; Lead generation; Engagement hacking,Formats,viral-frameworks/gated-magic-loop.md,gated;engagement;lead-gen;information-gap;automation
controlled-distraction,Controlled Distraction Framework,Perform mundane physical tasks while speaking to increase cognitive load and retention,Talking head; Storytelling; Spoken-word content,Structure,viral-frameworks/controlled-distraction.md,distraction;multitasking;retention;cognitive-load;talking-head
unpolished-friend,Unpolished Friend Framework,Use raw face-to-camera conversation style to build trust and stand out from polished content,Personal brands; Coaches; Consultants; Trust building,Formats,viral-frameworks/unpolished-friend.md,unpolished;authentic;trust;conversation;parasocial
hidden-psychology-reveal,Hidden Psychology Reveal Framework,Expose secret manipulation tactics through paradox hooks and quantifiable case studies,Edutainment; Business; Marketing; Psychology education,Structure,viral-frameworks/hidden-psychology-reveal.md,paradox;insider-knowledge;case-study;psychology;proof
mistake-to-mastery,Mistake-to-Mastery Framework,Use negative framing hooks and visual bad/good contrast cycles to establish authority,Educational creators; Design; Marketing; Consultants,Formats,viral-frameworks/mistake-to-mastery.md,negative-hook;contrast;loss-aversion;authority;visual-proof
everyday-paradox-breakdown,Everyday Paradox Breakdown Framework,Reveal the business logic behind universally relatable counter-intuitive observations,Edutainment; Business trivia; How the world works content,Structure,viral-frameworks/everyday-paradox-breakdown.md,paradox;everyday;insider-secret;relatable;concept-teaching
premium-perception-stack,Premium Perception Stack Framework,Break aspirational goals into 3 actionable secrets with emotional pivots and rulebooks,B2B creators; Marketing agencies; Design consultants; E-commerce,Formats,viral-frameworks/premium-perception-stack.md,aspirational;emotional;rulebook;premium;high-status
