id,name,description,best_for,ads_domain,file,tags
competitive-research,"Competitive Ad Research","Browser-based research workflows for competitor ad intelligence across Meta, Google, TikTok, and LinkedIn ad libraries.","Competitor analysis; ad research; creative intelligence; landing page analysis","Research","competitive-research.md","research,competitive,intelligence,browser"
google-ads,"Google Ads Strategy","Platform-specific guidance for Google Search, PMax, Display, YouTube, Shopping, and smart bidding strategies.","Google Ads campaigns; PMax setup; search ads; YouTube ads; shopping campaigns; smart bidding","Google","google-ads.md","google,search,pmax,display,youtube,shopping"
meta-ads,"Meta Ads Strategy","Platform-specific guidance for Facebook and Instagram campaigns including Advantage+, audiences, formats, and CAPI.","Meta Ads campaigns; Facebook ads; Instagram ads; Advantage+; CAPI; retargeting","Meta","meta-ads.md","meta,facebook,instagram,advantage+,capi"
linkedin-ads,"LinkedIn Ads Strategy","B2B-focused advertising guidance for LinkedIn including campaign types, targeting, and ABM strategies.","LinkedIn Ads; B2B advertising; ABM campaigns; message ads; lead gen forms","LinkedIn","linkedin-ads.md","linkedin,b2b,abm,message-ads"
tiktok-ads,"TikTok Ads Strategy","Platform-specific guidance for TikTok campaigns including Spark Ads, TikTok Shop, and creative best practices.","TikTok Ads; Spark Ads; TikTok Shop; creative testing; creator partnerships","TikTok","tiktok-ads.md","tiktok,spark-ads,tiktok-shop,creative"
programmatic,"Programmatic & Display Strategy","Guidance for programmatic advertising including DSP selection, CTV, targeting strategies, and brand safety.","Programmatic advertising; DSP selection; CTV ads; display campaigns; brand safety","Programmatic","programmatic.md","programmatic,dsp,ctv,display,targeting"
creative-strategy,"Ad Creative Strategy","Framework for developing high-performing ad creative including copywriting formulas, angle testing, and iteration methodology.","Creative development; copywriting; angle testing; video scripts; creative iteration","Creative","creative-strategy.md","creative,copywriting,angles,video,testing"
campaign-strategy,"Campaign Strategy","Full-funnel campaign architecture, budget allocation, bidding strategy, attribution, and scaling guidance.","Campaign planning; budget allocation; bidding strategy; scaling; attribution","Strategy","campaign-strategy.md","strategy,funnel,budget,bidding,scaling"
deliverables,"Deliverables & Outputs","Production-ready deliverable types, file organization, output contract, and response protocol for paid ads work.","Deliverable creation; file organization; output standards; response protocol","Deliverables","deliverables.md","deliverables,outputs,templates,organization"
best-practices,"Paid Advertising Best Practices","Modern and emerging practices across all major paid advertising platforms including algorithm changes and new ad formats.","Platform-specific ad strategy; creative best practices; campaign structure; bidding strategies; ad format selection","Strategy","best-practices.md","strategy,creative,platforms,modern"
benchmarks,"Paid Advertising Benchmarks","Industry benchmark data for paid advertising performance metrics across major platforms by industry and funnel stage.","Setting campaign targets; evaluating ad performance; identifying optimization opportunities; industry comparison","Measurement","benchmarks.md","benchmarks,metrics,industry,performance"
deliverable-templates,"Paid Ads Deliverable Templates","Production-ready templates for campaign briefs, ad copy documents, audience specs, budget plans, and A/B test plans.","Campaign brief creation; ad copy documentation; audience specification; budget planning; A/B test planning","Deliverables","deliverable-templates.md","templates,briefs,copy,budget"
privacy-tracking,"Privacy, Tracking & Attribution","Reference for privacy-compliant tracking setup, server-side tracking, attribution models, and the post-cookie landscape.","Tracking setup; server-side events; attribution modeling; consent mode; privacy compliance; CAPI setup","Tracking","privacy-tracking.md","privacy,tracking,attribution,consent"
